;Data;Date;
2022-01-02;232;2022-01-02;
2022-01-03;976;2022-01-03;
2022-01-04;436;2022-01-04;
2022-01-05;696;2022-01-05;
2022-01-06;413;2022-01-06;
2022-01-07;295;2022-01-07;
2022-01-08;367;2022-01-08;
2022-01-09;291;2022-01-09;
2022-01-10;681;2022-01-10;
2022-01-11;467;2022-01-11;
2022-01-12;482;2022-01-12;
2022-01-13;867;2022-01-13;
2022-01-14;831;2022-01-14;
2022-01-15;587;2022-01-15;
2022-01-16;445;2022-01-16;
2022-01-17;358;2022-01-17;
2022-01-18;840;2022-01-18;
2022-01-19;565;2022-01-19;
2022-01-20;1409;2022-01-20;
2022-01-21;793;2022-01-21;
2022-01-22;990;2022-01-22;
2022-01-23;472;2022-01-23;
2022-01-24;591;2022-01-24;
2022-01-25;1359;2022-01-25;
2022-01-26;970;2022-01-26;
2022-01-27;1430;2022-01-27;
2022-01-28;1265;2022-01-28;
2022-01-29;1158;2022-01-29;
2022-01-30;934;2022-01-30;
2022-01-31;684;2022-01-31;
2022-02-01;755;2022-02-01;
2022-02-02;636;2022-02-02;
2022-02-03;1174;2022-02-03;
2022-02-04;939;2022-02-04;
2022-02-05;913;2022-02-05;
2022-02-06;695;2022-02-06;
2022-02-07;923;2022-02-07;
2022-02-08;862;2022-02-08;
2022-02-09;1028;2022-02-09;
2022-02-10;1803;2022-02-10;
2022-02-11;1180;2022-02-11;
2022-02-12;1018;2022-02-12;
2022-02-13;963;2022-02-13;
2022-02-14;870;2022-02-14;
2022-02-15;1601;2022-02-15;
2022-02-16;1778;2022-02-16;
2022-02-17;1166;2022-02-17;
2022-02-18;983;2022-02-18;
2022-02-19;1067;2022-02-19;
2022-02-20;1179;2022-02-20;
2022-02-21;1057;2022-02-21;
2022-02-22;1116;2022-02-22;
2022-02-23;1492;2022-02-23;
2022-02-24;1468;2022-02-24;
2022-02-25;806;2022-02-25;
2022-02-26;978;2022-02-26;
2022-02-27;1155;2022-02-27;
2022-02-28;1964;2022-02-28;
2022-03-01;3717;2022-03-01;
2022-03-02;2200;2022-03-02;
2022-03-03;1674;2022-03-03;
2022-03-04;1671;2022-03-04;
2022-03-05;1419;2022-03-05;
2022-03-06;1623;2022-03-06;
2022-03-07;1799;2022-03-07;
2022-03-08;2396;2022-03-08;
2022-03-09;1648;2022-03-09;
2022-03-10;1938;2022-03-10;
2022-03-11;1599;2022-03-11;
2022-03-12;1476;2022-03-12;
2022-03-13;1089;2022-03-13;
2022-03-14;1371;2022-03-14;
2022-03-15;2178;2022-03-15;
2022-03-16;1858;2022-03-16;
2022-03-17;1956;2022-03-17;
2022-03-18;1542;2022-03-18;
2022-03-19;1274;2022-03-19;
2022-03-20;1427;2022-03-20;
2022-03-21;2510;2022-03-21;
2022-03-22;1399;2022-03-22;
2022-03-23;1472;2022-03-23;
2022-03-24;1497;2022-03-24;
2022-03-25;5333;2022-03-25;
2022-03-26;2048;2022-03-26;
2022-03-27;1558;2022-03-27;
2022-03-28;1398;2022-03-28;
2022-03-29;1161;2022-03-29;
2022-03-30;1279;2022-03-30;
2022-03-31;1175;2022-03-31;
2022-04-01;1163;2022-04-01;
2022-04-02;1275;2022-04-02;
2022-04-03;1384;2022-04-03;
2022-04-04;1533;2022-04-04;
2022-04-05;1693;2022-04-05;
2022-04-06;1679;2022-04-06;
2022-04-07;1088;2022-04-07;
2022-04-08;1333;2022-04-08;
2022-04-09;1537;2022-04-09;
2022-04-10;1736;2022-04-10;
2022-04-11;2299;2022-04-11;
2022-04-12;2196;2022-04-12;
2022-04-13;2562;2022-04-13;
2022-04-14;1941;2022-04-14;
2022-04-15;2109;2022-04-15;
2022-04-16;1545;2022-04-16;
2022-04-17;1739;2022-04-17;
2022-04-18;1650;2022-04-18;
2022-04-19;1530;2022-04-19;
2022-04-20;2450;2022-04-20;
2022-04-21;2328;2022-04-21;
2022-04-22;2024;2022-04-22;
2022-04-23;1795;2022-04-23;
2022-04-24;1816;2022-04-24;
2022-04-25;1733;2022-04-25;
2022-04-26;1687;2022-04-26;
2022-04-27;1526;2022-04-27;
2022-04-28;1611;2022-04-28;
2022-04-29;1321;2022-04-29;
2022-04-30;1437;2022-04-30;
2022-05-01;1467;2022-05-01;
2022-05-02;1739;2022-05-02;
2022-05-03;1592;2022-05-03;
2022-05-04;1988;2022-05-04;
2022-05-05;1431;2022-05-05;
2022-05-06;1266;2022-05-06;
2022-05-07;1226;2022-05-07;
2022-05-08;1188;2022-05-08;
